,input,actual,predicted
292,"x udun-na ... u3-ba-ni-in-du8
","After one has baked the leavened dough in the oven 
","Wearer of only a loincloth laying down on the oven
"
293,"{d}nin-mah
","of Ninmah 
","he seated
"
294,"{d}nanna
","For Nanna 
","For Nanna
"
295,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
296,"mu-bi 5(gesz2) 5(u) 6(disz) ib2-ak
","the years 356 they ruled 
","the years 356 they ruled
"
297,"ARAD2 sza-i3-li2-szu
","servant of ailiu 
","servant
"
298,"i3-di3-lum
","From Idilum 
","lancet
"
299,"2(gesz2) 1(gesz2) 2(u) la2 1(disz) dumu 2(ban2)-ta
","199 children 2 ban2  2 sila3 each 
","79 children 2 ban2 2 sila3 each
"
300,"hur-sag x ... ni2-gu10 ...
","I want to fill my hand with the risen mountain I want to make it know my fear 
","alas the mountain range
"
301,"nam-lugal-la-ni su-za-a he2-eb-du10
","May his kingship be made pleasing in your flesh 
","The kingship
"
302,"{d}inanna iri-zu-sze3 gen-ba e-ne ga-ba-ab-tum2-mu-de3-en
","Inanna proceed to your city we will take her back 
","Inanna proceed to your city we will take him back
"
303,"lu2 x ki ...
","For the  wind 
","A man
"
304,"...-ga2-...
","Their lament was the lament of the parents of Enlil 
","Their lament was the lament of the parents of Enlil
"
305,"lugal kal-ga
","strong king 
","strong king
"
306,"lugal uri2{ki}
","king of Ur 
","the king of Ur
"
307,"ki u6-di kalam-ma-ka
","a place of marvel of the nation 
","the most wonderous place of the nation
"
308,"7(asz) sa2
","7 ninda squared 
","7 ninda squared
"
309,"dub gid2-da
","xxx 
","xxx
"
310,"mu-du3
","he built 
","he built
"
311,"...-ga sahar su bi2-ib-zi-x
","The risen stormwind raised up devastation 
","The platform that hosts your pure ritual cleansing the art of the iib priest your suitable for the art of the iib priest
"
312,"4(disz) gu4 niga
","4 Mastrinder 
","4 grainfed oxen
"
313,"1(asz) 4(barig) 4(ban2) 6(disz) sila3 mun gur 3(asz) gur-ta
","1 gur 4 barig 4 ban2 6 sila3 salt at 3 gur each 
","1 gur 4 barig 4 ban2 6 sila3 salt
"
314,"en {d}nin-gir2-su-ka
","by lord Ningirsu 
","of lord Ningirsu
"
315,"nin-PESZ2 DU
","turtle 
","built
"
316,"szunigin ziz2-bi 1(u) 6(asz) 3(barig) 5(disz) sila3 gur
","total its emmer 16 gur 3 barig 5 sila3 
","total its emmer 16 gur 3 barig 5 sila3
"
317,"9(asz) 1(barig) x ...
","9 gur 1 barig  
","9 gur 1 barig
"
318,"x-ru-uk-x x ...
","Abzu great crown shrine that makes divisions 
","The topicsvocabularies of the art of the scribal student
"
319,"bar udu had2-ka
","instead of a pure sheep 
","for the instead of pure sheep
"
320,"la2-ia3 su-ga lu2-{d}x-x
","deficit restored by Lu 
","deficit restored
"
321,"e2-engur-ra zu2-lum-ma
","the Eengura temple of the Zulum field 
","the Eengur of the Zulum field
"
322,"ARAD2-zu
","is your servant
","is your servant
"
323,"{d}en-lil2-ra mu-na-da-an-ku4-ku4
","he enters before Enlil 
","For Enlil
"
324,"lugal an-ub-da limmu2-ba
","king of the four corners
","king of the four corners
"
325,"abzu-e u6 am3-ma-gub
","He has the abzu stand as a marvel 
","The Abzu of the Levee
"
326,"kiszib3 2(disz)
","sealed documents 2 
","2 sealed tablets
"
327,"... {gesz}banszur ninda saga gar-ra-ta
"," after setting a table with good food 
","From the table of the pure table the first
"
328,"am-mi-s,a-du-qa2-a
","of Ammaduqa 
","lancet
"
329,"szagina
","general
","general
"
330,"an-sze3 al-ti-ri2-ki{muszen} muszen dingir-...
","Towards heaven the altirigu bird is the bird of a god 
","Reverent youth Utu decreed a fate for you
"
331,"ga2-nun du6-ku3-sig17-ta guru7 a-pi4-sal4{ki}-sze3 gi ma2-a ga2-ra ma2 gid2-da u3 ma2 ba-al-la
","reed loaded into the barge barge from the Dukuge storage house to the silo of Apisal punted and barge unloaded 
","To the storage facility of Apisal punted barge unloaded and barge unloaded
"
332,"dumu nibru{ki}-a muszen dab5-ba-gin7 szu-ni-a bi2-...
","The citizens of Nippur like caught birds he  in his hand 
","It was the child of Nibru the bird snare has seized
"
333,"di ku5 ...-ra
","the  judge
","The ones
"
334,"... ki
","For Nanna 
","5 iku field area
"
335,"dumu lugal-uszur4
","the son of Lugaluur 
","son of Lugaluur
"
336,"gig-numun-bi 1(barig) 1(ban2) 2(disz) sila3
","their seed wheat 1 barig 1 ban2 2 sila3 
","1 barig 1 ban2 2 sila3
"
337,"gu4-gin7 tur3-zu-sze3 udu-gin7 amasz-zu-sze3
","Like an ox towardson behalf of your cattlepen like a sheep towardson behalf of your sheepfold 
","return like a bull to your cattlepen of former days like a sheep to your fold
"
338,"{gesz}dam-zu {gesz}gag sal-la szub-...
","Lay down your beam with a thin nail 
","you have restored the rites that have fallen from the hand into disuse
"
339,"a-sza3 la2-mah-ta
","from the field Lamah 
","field Lama
"
340,"lugal nibru{ki}
","the king of Nippur 
","king of Nippur
"
341,"i3-dab5
","accepted 
","accepted
"
342,"a iri gul-la e2 gul-la-gu10 gig-ga-bi im-me
","Alas the destroyed city my destroyed house 
","Alas the destroyed city my destroyed house
"
343,"sun2 tur nam-szul-ba gub-ba
","young cow standing firm in its vigor 
","built
"
344,"udu sa10-ma
","purchased sheep 
","purchased sheep
"
345,"{gesz}kiri6 dingir gal-gal-e-ne-ka
","in the orchards of the great gods
","the orchards of the great gods
"
346,"sagi ARAD2-zu
","cupbearer is your servant
","cupbearer is your servant
"
347,"1(gesz2) 3(asz) e2-{gesz}ha-lu-ub2-e gu-sur
","63 from Ealube the gusur 
","113 talentpounds of wool
"
348,"lugal-ki-gen-ne2-du7-du7-de3
","by Lugalkigenedudu 
","Lugalkigenedudu
"
349,"iti szu-numun
","month Sowing 
","month Sowing
"
350,"u4 ugnim unu{ki}-ga
","when the armies of Uruk 
","when the armies of Uruk
"
351,"iti masz-da3-gu7
","month Gazellefeast 
","month Gazelle feast
"
352,"lugal {d}en-lil2-le
","the king whom Enlil
","the king whom Enlil
"
353,"ga2-e lugal nig2-gi-na-me-en
","I a king of justice 
","being a righteous king
"
354,"e2-dub-ba-a za-pa-ag2 mu-x-...
","You put an outcry in the scribal school 
","shout cry
"
355,"ka2 mah ka2 gal ka2 silim-ma hur-sag-galam-ma ka2 sze nu-ku5-da
","The Lofty Gate the Great Gate the Gate of Peace the ursaggalama and the Gate of Perpetual Grain Supplies 
","He locked up the great gate
"
356,"i3-dab5
","received 
","accepted
"
357,"a-a kur-sze3 ba-u5-a-ba
","When the father rode towards the netherworld 
","when the father set sail for the nether world
"
358,"siskur2 {d}be-la-at-suh-ner
","offering of Belatsuner 
","heaping up
"
359,"ib2-ta-ni-e3
","he extended 
","lancet
"
360,"iti dal
","month Flight 
","month Flight
"
361,"ki-sikil {d}inanna hi-li-bi mu-un-szi-in-kar-ra {a}a2-zu a-ri-a-an-szi-ib = %a ana ar-da-tu4 {d}isz-tar sza2 te-em-nu-szi id-ka i-din-szi
","Grant your strength to the maiden Itar whom you have loved   
","Grant your strength to the maiden Itar whom you have loved
"
362,"i3-gal2
","xxx 
","are here
"
363,"szesz-gu10 a-na-zu a-ra-gig
","My brother what hurts you 
","My brother what hurts you
"
364,"uri2{ki}-ma ur-{d}namma lugal-am3
","In Ur UrNamma was king 
","king of Ur
"
365,"iri-ta nu-e3
","out of the city not going
","out of the city not going
"
366,"3(asz) sa2
","3 ninda squared 
","3 ninda squared
"
367,"3(disz) sila3 kasz 2(disz) sila3 ninda
","3 sila3 beer 2 sila3 bread 
","3 sila3 beer 2 sila3 bread
"
368,"ka-al-ka
","and by the excavation 
","and by the excavation
"
369,"su-ti-um{ki}-bi
","and Sutium 
","lancet
"
370,"1(bur3) 2(esze3) 4(iku) 1/4(iku) GAN2 1(u) la2 1(asz@45)-ta
","1 bur3 2 ee3 4 14 iku surface area at 1 less 1 each 
","1 bur3 2 ee3 4 14 iku surface area at 1 less 1 each
"
371,"bad3-ba {d}nanna suhusz ma-da ge-en-ge-en
","That wall Nanna Makes Firm the Foundations of the Land 
","Of that wall Nanna Keeps Secure the Foundation of the Nation
"
372,"GISZ x ...
","in order to  
","at a banquet with me in the city
"
373,"7(disz) {gesz}ig {gesz}KA ...
","7 doors 
","7 sagubar garments
"
374,"... a-na gi-pisz erin2-hi-a-mesz-te-szu-nu
","In the might of their troops and 
","My
"
375,"mu-na-du3
","he built  
","he built
"
376,"...-bi iri-bi dingir-...
","Its power makes the city and its gods bow to the ground 
","City your city decreed as a fate for you
"
377,"... u2 a-nir mu2-mu2-de3
","So that the lamentation plant grows in the plain 
","In order to make barley and flax grow in the furrows
"
378,"ensi2
","governor
","ruler
"
379,"i3-mi-si-a
","he had put it 
","Upon the standard
"
380,"igi-sze3 ba-gub
","were stationed in front 
","stand to be admired
"
381,"sze-ba giri3-se3-ga {gesz}kiri6
","xxx 
","barley rations of the standing personnel of an orchard
"
382,"dub-sar
","scribe 
","scribe
"
383,"gu4 in-hun si-bi ib2-ta-an-ku5
","rented an ox amd cut off its horn
","rented an ox or bull
"
384,"1(disz) me ME = %a par4-s,um
","62 lines in this column
","1 pot ca 1 liters of dida beer 9 sila3 1 ban2 semolina
"
385,"uri2{ki}-ma usu-bi-ta nir-gal2 gab2-gaz-e ba-a-gub
","In Ur the noble one divested of his strength stood among the murderers 
","Urim you stood in their strength
"
386,"{d}nansze
","of Nane 
","of Nane
"
387,"szu ba-ti
","received 
","received
"
388,"u3-mu-dim2
","when he had fashioned  
","when I had fashioned it
"
389,"za-ri2-HUL2
","a kind of reptile 
","lancet
"
390,"a2-bi u4 3(gesz2) 7(disz)-kam
","its labor 187 days 
","its labor 47 workdays
"
391,"lugal-a-ni-ir
","his master 
","his master
"
392,"bar-szeg3-ge26-e-zu ib2-usz2-en
","Your fog has killed me 
","LuItaran
"
393,"x x x e2 sa2-du11-ga-ni-sze3
","and a  for his house of regular offerings 
","bitterpainful
"
394,"1(disz) ($ blank space $) BAD = %a da-mu
","62 lines in this column
","61 lines in this column
"
395,"e2-a-ni
","her temple  
","his temple
"
396,"zi-ga-am3
","booked out 
","booked out
"
397,"... ur-sag za-e x-...
","My king the hero you established for your regular offerings 
","Hero you Anuna gods
"
398,"gal na-ga-mu-zu
","was furthermore very clever 
","was furthermore very clever
"
399,"kiszib3 u3-ma-ni dub-sar
","under the seal of Umani the scribe 
","under seal of Umani the scribe
"
400,"{gesz}ig nim-gin7 mu-un-dal-dal
","They flitted through the door like flies 
","The door bolt and latch of the temple
"
401,"mu-du3
","he built 
","he built
"
402,"... x ... = %a ...
"," making obeisances and invoking the name 
","62 lines in this column
"
403,"ug3-e sag e2-gar8 du3 i3-ak-...
","The people were erecting a wall of heads the storm devouring as if in a pack 
","The people were erecting a wall of heads the storm devouring as if in a pack
"
404,"a2-lal3-gar mu 1(szar'u) i3-ak
","Alalgar 36 years he ruled 
","432 years he ruled
"
405,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
406,"dam egir-ra-ke4
","the later wife must
","For Enki the water of the stern
"
407,"1(u) gin2 ku3-babbar
","1 shekels silver 
","1 shekels silver
"
408,"1(barig) 3(ban2) ... x
","1 barig 3 ban2  
","1 barig 3 ban2
"
409,"e2-ninnu an ki-ta bad-bi
","the separation of Eninnu from heaven and earth 
","When Eninnu amassed
"
410,"tug2 nin-in-nu-tuku
","textile for Nininnutuku 
","infected by lice
"
411,"{d}utu ka-ga2 inim ba-ni-in-gal2
","Utu endowed me with eloquence  
","had slain Utu
"
412,"lugal kur-kur-ra
","king of all the lands 
","king of all the lands
"
413,"1(disz) tug2 inim-{d}szara2
","1 garment Inimara 
","1 Inimara
"
414,"hur-sag galam kad5-dam a-e ba-dirig
","it is an artfully built mountain which floats on the water 
","The mountain range spanning both heaven and earth
"
415,"mu-un-gub
","he set up 
","all alone she directed her steps
"
416,"iti sig4 u4 8(disz) ba-zal
","Month Bricks 8 days passed 
","of the month the 28th day passed
"
417,"{gesz}x-...
","perforated wood 
","two
"
418,"2(asz) 3(barig) zi3 gur
","2 gur 3 barig flour 
","2 gur 3 barig flour
"
419,"{d}nanna-gin7
","like Nanna
","by Nanna
"
420,"a2 me3
","the weapon of war
","the arm of battle
"
421,"an-da ki mah-ha-na sza3 kusz2-u3 ur5-ra-asz-da bara2 gal-e si-a
","with An in his lofty place taking counsel sitting with Ura on a big throne 
","One who forgot that of the long haircomb
"
422,"2(gesz2) 5(u) 5(disz)
","total 175 
","155
"
423,"tul2 nig2-tur-da kalam til-til-le-da
","there are shallow wells of the Land yet to be finished 
","there are shallow wells of the Land yet to be finished
"
424,"... al-la kuruszda
","from Alla the fattener  
","xxx
"
425,"diri u4-bi-ta-sze3
","More than previously 
","More than previously
"
426,"a-na bad3-a-bi-e-szu-uh{ki} sza kun i7 ha-am-mu-ra-pi2-nu-hu-usz-ni-szi
","to DrAbu at the outlet of the ammurpinuuni canal 
","at DrAbu at the outlet of the ammurpinuuni canal
"
427,"inim si-sa2 {d}nansze-ta
","and the just word of Nane 
","by the just word of Nane
"
428,"ki-bi-sze3 x ...
","did restore 
","to its former state
"
429,"nin-a-ni
","for his mistress 
","his mistress
"
430,"mu-na-du3
","he built for himher
","he built
"
431,"mu us2-sa bad3 ba-du3-ta
","from the year following The wall was erected 
","xxx
"
432,"iti 1(u) 2(disz)-kam
","a period of 12 months 
","xxx
"
433,"x x a x ki-ag2-ga2
","In the beloved  
","beloved
"
434,"gesz tur-tur-bi ur2-ba ga-mu-bu3-bu3
","their small trees I shall uproot 
","57 lines
"
435,"a-a {d}en-ki za3-mi2
","Father Enki praise 
","Father Enki be praised
"
436,"1(u) sar GAN2 {gesz}geszimmar
","1 sar the surface of date palms 
","1 plots date palms
"
437,"e2 a-mer ku3
","in the sacred  house 
","The house
"
438,"{gesz}ba-an 1(ban2)
","a measuring container of 1 ban2 
","a measuring container of 1 ban2
"
439,"2(u) 3(disz) dumu 1(ban2)-ta
","23 children 1 ban2  1 sila3 each 
","23 children 1 ban2 1 sila3 each
"
440,"mu-na-du3
","he built 
","he built
"
441,"lugal {d}en-ki-ke4 nam mu-na-tar
","King Enki decided its destiny for him 
","King Enki Ninki Enul and Ninul ancestors of Enlil the Anuna the fatedetermining lords the udug protective spirit of Nibru the king
"
442,"sahar-bi za-gin7 mu-zar-zar
","its earth like gems I stacked up  
","Its soil like a fecund shegoat
"
443,"ku6 sila3 gal
","large piece of fish 
","large fish
"
444,"igi ut-ma-tum
","before Utmatum 
","Four breed bulls
"
445,"... a mu-zu
"," alas your name 
","alas your name
"
446,"UD-ma e2 nu-tuku e2 x-a-x ...
"," that does not have a house  
","nohaver of opponent
"
447,"dam ur-{d}ba-ba6
","xxx 
","wife of UrBaba
"
448,"1(disz) du10-ga
","1 of Duga 
","1 good
"
449,"lugal kal-ga
","strong king
","strong king
"
450,"ti-ra-asz2
","xxx 
","Tira
"
451,"ka-ta ...
","Fromby the mouth  
","If it is present fromby means of the mouth he does not have it for his hand
"
452,"hur-sag kur ebih{ki}-ke4 te-a-me-en ni2-bi na-ma-ra-ab-be2
","I am the one that had approached the mountain range with the mountain of Ebih it should notindeed it did act fearfully towards me 
","The mountain range spanning both heaven and earth
"
453,"szunigin 2(gesz2) 2(u) 7(disz) gu4 niga
","total 147 grainfed oxen
","total 147 grainfed oxen
"
454,"iti x x x
","month 
","month
"
455,"lugal an-ub-da limmu2-ba-ke4
","and king of the four world quarters
","and king of the four world quarters
"
456,"{gesz}naga4 sze
","a mortar for barley 
","a mortar for seSAme
"
457,"za3-mu10 mu-ru-bi-im
","this is the middle of the praise 
","in admiration
"
458,"3(disz) nin-disz-gal-da
","3 mana wool for Nindigalda  
","3 mana wool for Kubi
"
459,"...-zu-ne-ne-ta-am3 dingir-re-e-ne x-am3
","It is by means ofapart from your pl the  gods are 
","xxx
"
460,"szu-esz18-dar
","for Itar 
","of uedar
"
461,"nin-a-ni-ir
","his mistress
","his mistress
"
462,"iri-sa12-rig7{ki}-ta
","from Irisagrig 
","from Irisagrig
"
463,"bar-ra-kar-ra
","Barakara 
","xxx
"
464,"he2-in-...
","If the junior brother  his inspection  is checked 
","lancet
"
465,"he2-en-sa6
","may he find favor
","so that he indeed pleased
"
466,"i3-gal2
","are here 
","are here
"
467,"1/2(disz) szesz-a-ni
","12 workman eani 
","12 workman eani
"
468,"u3 ma-da ku-ta-al-la{ki}-ke4
","and the land of Kutalla 
","and the land of Warm
"
469,"ba-dim2-ma-ta
","had been constructed
","lancet
"
470,"a-a ...
"," is a taboo of  a deity 
","Father
"
471,"u3-mu-dim2
","I had worked
","when I had fashioned it
"
472,"{d}en-lil2 a-ne ba-sa2-sag
","Enlil he  
","The Enlil he
"
473,"zi3 a-gar-gu7-sze3
","for agarfeeding flour 
","flour allotments
"
474,"a. 2(disz) ninda 4(disz) kusz3 dagal
","2 ninda 4 cubits the width 
","2 ninda 4 cubits the width
"
475,"giri3 ulu3-di
","xxx 
","via Uludi
"
476,"giri3 lugal-inim-gi-na
","via Lugalinimgina 
","via Lugalinimgina
"
477,"murgu2 HUB2-HUB2-de3 bar dim du3-du3-de3
","Its shoulder is to smiteit is to make its shoulder leap its back is to plant a mooring post ie it is difficult to remove from the water 
","The hoe and the earthcarrying basket are those that are to build the city
"
478,"3(gesz2) 3(disz) dumu 2(ban2)-ta
","183 children 2 ban2  2 sila3 each 
","3 children 2 ban2 2 sila3 each
"
479,"ka ba-a-zu szu il2 ...
","Your utterance hand raising in prayer  
","May they cover the utterance of the universe
"
480,"na-ra-am-{d}suen-e masz2-ge6-ka igi ba-ni-in-du8-a
"," NaramSuen saw that in a nocturnal vision 
","The priestsmith Nintukalamma
"
481,"ur-sag {gesz}tukul-a sag ga2-ga2-gin7
","Like a warrior hurrying to arms 
","fit to open knees like a warrior
"
482,"en nab-HI
","south 
","the en priestess
"
483,"erin2 gir2-su{ki}
","xxx 
","labortroops of Girsu
"
484,"gesz ba-gur4 kusz-bi nu-mu-un-da-dar
","The wood thickened but its bark could not be split 
","the tree had grown massive its bark however did not split
"
485,"igi ur-{d}iszkur
","before UrIkur 
","UrIshkur
"
486,"i7 a-ba mu-un-ba-al-e
","Who will dig the canal
","Who will dig the canal here
"
487,"nam-he2
","Abundance 
","and abundant water
"
488,"ki-en-gi i7-ba a szu bi2-ba gesz gu2-ba mu-zi
","I release water into the canals of Sumer making the trees grow tall on their banks 
","Sumer and Akkad have been desecrated by the foe
"
489,"ku3 {d}inanna-ke4 u3 nu-um-szi-ku-ku
","holy inanna did not sleep as she ensured all of this 
","But the holy one Inanna possesses an animal did not sleep
"
490,"ka5 ...
","May the fox the one of the destroyed ruin mound drag its tail there 
","built
"
491,"nig2-sa6-ga-bi-a
","that beautiful thing 
","lancet
"
492,"szul zi kalam-ma dalla hu-mu-ni-in-e3
","Trustworthy hero you have made it shine gloriously in the Land 
","Trustworthy hero you have made it shine gloriously in the Land
"
493,"{d}nin-gir2-su-ke4 esz3 numun i-a sza3-ge ba-ni-pa3
","Ningirsu had conceived the House in his heart as a sanctuary from which the seed sprouted
","Ningirsu boisterous in the Aps
"
494,"mu-sar-ra-mu
","or my inscription 
","lancet
"
495,"ki-nu-nir{ki}
","Kinunir 
","in Kinunir
"
496,"{d}nin-gir2-su2-ka-ke4
","of Ningirsu 
","of Ningirsu
"
497,"u6-di kalam-ma-sze3 pa gal-le-esz he2-bi2-in-e3
","As a marvel of the nation I made it appear greatly resplendent 
","I made it grandly resplendent
"
