input,actual,predicted
" a2-bi u4 ... 5(iku) GAN2 tug2-gurx(|SZE.KIN|) x x gesz-ur3-ra a-ra2 3(disz) 4(iku) 1/2(iku) GAN2-ta
","its labor n days  5 iku of tugsag work  labor of harrowing 3 times at 4 12 iku field area a day 
","its labor n days 5 iku of tugsag work labor of harrowing 3 times at 4 12 iku field area a day
"
"1(asz) 3(barig) 4(ban2) 5(disz) sila3 imgaga3 gur
","1 gur 3 barig 4 ban 5 sila spelt  
","1 gur 3 barig 4 ban2 5 sila3 spelt
"
"la2-ia3 x nig2-ka9-ak x kid-...-x-dag 1(u) 2(asz) 2(barig) sze gurx(|SZE.KIN|) gur
","deficit of the account   12 gur 2 barig harvest barley 
","deficit of the account 12 gur 2 barig harvest barley
"
"1(gesz2) 3(u) 5(asz) sza13-dub-ba 1(gesz2) 3(u) 5(asz) sa12-du5
","95 chief accountant  95 chief surveyor 
","95 chief accountant 95 chief surveyor
"
"ki kur-bi-la-ak-ta {d}szul-gi-iri-mu szu ba-ti
","from Kurbilak  ulgiirimu  received 
","from Kurbilak ulgiirimu received
"
"tir u2-la2{ki} i3-dab5 1(asz) GAN2 ug3 a-du-du
","the Ulawoods took in charge  1 acworker field porter Adudu 
","the Ulawoods took in charge 1 acworker field porter Adudu 1 Adudu
"
"1(disz) udu ... 1(disz) ...
","1 sheep   1   1  
","1 sheep 1 1
"
"gurx(|SZE.KIN|)-a zar3 tab-ba a-sza3 GAN2-mah a-sza3 nin10-nu-du3 u3 a-sza3 apin-ba-zi
","harvested and sheaves piled up in the field GAN2mah in the field Ninnudu and in the field PloughofBazi 
","harvested and sheaves piled up in the field Ninnudu in the field PloughofBazi and in the field PloughofBazi
"
"4(barig) 2(ban2) 2(disz) sila3 nig2-ar3-ra a2-bi u4 2(gesz'u) 7(gesz2) 6(disz) 2/3(disz)
","4 barig 2 ban2 2 sila3 of groats its labor 1626 23 workdays
","4 barig 2 ban2 2 sila3 of groats its labor 1626 23 workdays
"
"1(u) 5(disz) dumu ba-BAD u4 3(u)-sze3
","15 dumubaBAD laborers for 3 days
","15 dumubaBAD laborers for 3 days
"
"szunigin 3(ban2) 4(disz) sila3 ninda szunigin 1/3(disz) sila3 ...
","total 3 ban2 4 sila3 bread total 13 sila3  
","total 3 ban2 4 sila3 bread total 13 sila3
"
"4(disz) gin2 ku3 zu2-lum-ma ki lugal-ku3-zu-ta
","4 Sekel Silber fr den Kauf von Datteln  hat von Lugalkuzu 
","4 shekels of silver the Eengur temple of the Zulum field
"
"e a-sza3 lugal-mu10-us2-sa2 gaba a-gesztin-na-ka e ki-sumun-na gid2-da
","The levee of the Lugalmussa field that is in front of Agetin field  has been measured up to the levee of a plot with poor soil 
","The levee of the field is measured out The levee of the Lugalmussa field that is measured up
"
"u4 1(u) 5(disz)-kam iti ezem-{d}szul-gi iti ezem-{d}szul-gi
","15th day month Festival of ulgi
","15th day month Festival of ulgi
"
"n dusu2-nita2 amar ga 1(disz) dusu2-munus amar ga
","n suckling male equids  1 suckling female equid 
","n suckling jackasses 1 suckling calf
"
"i3-dab5 iti ezem-an-na mu gu-za {d}en-lil2-la2 ba-dim2
","accept  month Festival of An  year The chair of Enlil was fashioned 
","accept month Festival of An year The chair of Enlil was fashioned
"
"ugula lugal-nesag-e kiszib3 lu2-bala-saga mu si-ma-num2{ki} ba-hul
","foreman Lugalnesage  under seal of Lubalasaga  year Simanum was destroyed 
","foreman Lugalnesage under seal of Lubalasaga year Simanum was destroyed
"
"mu 5(disz)-kam i3-gal2 mu us2-sa a-ra2 3(disz)-kam si-mu-ru-um{ki} ba-hul-ta
","a period of 5 years  are here  from the year following For the 3rd time Simurum was destroyed 
","a period of 5 years are here from the year following For the 3rd time Simurum was destroyed
"
"mu-kux(DU) la2-ia3 2(gesz'u) 1(u) 7(asz) 1(barig) 2(ban2) 6(disz) 1/3(disz) sila3 sze gur
","delivery  deficit 1217 gur 1 barig 2 ban2 6 13 sila3 barley 
","deliveries the deficit 147 gur 1 barig 2 ban2 6 13 sila3 barley
"
"a-hu-ni sagi maszkim iti u4 1(u) la2 1(disz) ba-zal
","Auni cupbearer responsible official of the month day 9 elapsed
","Auni cupbearer responsible official of the month day 9 elapsed
"
"a2-bi u4 3(gesz2) 3(u) 1(disz) 2(gesz'u) 9(gesz2) sar al 8(disz) sar-ta
","its labor 211 days  174 sar of hoeing at 8 sar a day 
","its labor 217 days 15 sar hoeing at 8 sar a day
"
"kun-zi-da i7 {d}amar-{d}suen-ni-tum-ma-ta u4 2(disz)-sze3 iri-sa12-rigx(|PA.MUNUS.HUB2.DU|){ki}-sze3 ma2 gid2-da u3
","from reservoir of AmarSuentum canal  for 2 workdays to Irisagrig barge punted and 
","from reservoir of AmarSuentum canal for 2 workdays to Irisagrig barge punted and
"
"sze ur5-ra engar nu-banda3-gu4 i3-dub {d}nin-hur-sag-ta
","Barley loan for the plowmen of the oxen overseer  from the warehouse of Ninhursag 
","Barley loan for the plowmen of the oxen overseer from the warehouse of Ninhursag
"
"1(disz) {ansze}zi-zi-nita2 2(disz) {ansze}zi-zi-munus ($ blank space $) 1(u) 2(disz)
","1 stallion 2 mares total 12
","1 stallion 1 mare total 12
"
"2(disz) kun gu4 sa gu4 3(disz)-kam
","2 tails of oxen  tendon of 3 oxen 
","2 tails of oxen tendon of 3 oxen
"
"1(disz) tug2 u2 kal giri3-ni-i3-dab5 dumu a-hu-ni
","1 fine u garment Giriniidab  son of Auni 
","1 fine u garment Giriniidab son of Auni
"
"3(disz) 1/3(disz) sar sahar gurusz-e 1(u) gin2-ta
","3 13 sar earth  per male laborer day 1 shekels 
","3 13 sar earth per male laborer day 1 shekels
"
"1(esze3) 2(iku) 1/2(iku) 1/4(iku) GAN2 1(u)-ta
","1 ee3 2 34 iku surface area at 1 each 
","1 ee3 2 34 iku surface area at 1 each
"
"4(ban2) dumu ur-{d}ma-mi 1(ban2) 5(disz) dumu ur-{d}nam2-an-na
","4 ban2 the son of UrMami  1 ban2 5 sila3 the son of Urnamanna 
","4 ban2 the son of UrMami 1 ban2 5 sila3 the son of Urnamanna
"
"KA kesz2-ra2 i3-gal2 mu unu6-gal-an-na
","are here  are here  year Enunugalana 
","A dam are here year arsi was destroyed
"
"ki ur-{d}ba-ba6 5(disz) udu u2 ki lu2-sa6-ga
","with UrBaba  5 sheep grassfed with Lusaga 
","with UrBaba 5 sheep grassfed with Lusaga
"
"kiszib3 lu2-usz-gi-na 3(barig) kiszib3 ur-{d}nin-gesz-zi-da 3(barig) kiszib3 lu2-gu3-de2-a
","under seal of Luugina 3 barig under seal of UrNingezida and 3 barig under seal of LuGudea
","under seal of Luugina 3 barig UrNingezida and 3 barig LuGudea
"
"sa2-du11 {d}szara2 4(u) 5(disz) udu niga 2/3(disz) sila3 sze-ta
","regular offerings of ara  45 sheep grainfed 23 sila3 barley each 
","regular offerings of ara 45 sheep grainfed 23 sila3 barley each
"
"szunigin 1(bur'u) 2(bur3) 1/2(iku) GAN2 1(u) 2(disz)-ta
","total 12 bur3 12 iku surface area at 12 each 
","total 12 bur3 12 iku surface area at 12 each
"
"1(disz) gukkal 2(disz) gukkal gesz-du3 3(disz) udu a-lum
","1 fattailed sheep  2 fattailed sheep breeders  3 aslum sheep 
","1 fattailed sheep 2 fattailed sheep breeders 3 aslum sheep
"
"pisan-dub-ba kiszib3 dab-ba sza3-ze2 ur-e11-e-ka
","Basketoftablets  sealed documents of conveyances of aze Uree 
","Basketoftablets sealed documents of conveyances of aze Uree
"
"1(disz) sila4 gukkal u4 2(u) 5(disz)-kam
","1 lamb fattailed 25th day 
","1 lamb fattailed 25th day
"
"pisan-dub-ba dub gid2-da lu2-{d}nin-gir2-su dumu ba-zi
","Basketoftablets  longtablets  of LuNingirsu son of Bazi 
","Basketoftablets long tablets of LuNingirsu son of Bazi
"
"a. 1(disz) ninda du 2(disz) kusz3 gid2
","1 running ninda 2 cubits the length 
","1 running ninda 2 cubits the length
"
"ugula ip-hur szusz3 ($ blank space $) 5(u) 7(disz)
","foreman Ipur cattle manager  total 57 
","foreman Ipur cattle manager n rams
"
"n 2(disz) dusu2-nita2 szu-szum2-ma ki na-sa6
","n male equids  as consignment  from Nasas account 
","n 2 male equids for consignment of Nasa
"
"lugal an-ub-da limmu2-ba ku3-{d}nin-gal dumu kal-la-mu
","king of the four corners KuNingal son of Kallamu
","king of the four corners KuNingal son of Kallamu
"
"e2-gal gibil-sze3 ga6-ga2 1(u) geme2 u4 8(disz)-sze3
","to New Palace carried  1 female laborers for 8 days 
","to New Palace carried 1 female laborers for 8 days
"
"8(asz) szar2-ra-ab-du 2(u) nu-banda3 erin2 8(asz) lu2 sar
","8 arabdu  2 manager of the worker troops  8 gardener 
","8 arabdu 2 manager of the worker troops 8 gardener
"
"sza3 gar-sza-an-na{ki} iti ezem-{d}nin-a-zu mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 e2 {d}szara2 umma{ki}-ka mu-du3
","in Garana  month Festival of Ninazu  year uSuen king of Ur the house of ara in Umma erected 
","in Garana month Festival of Ninazu year uSuen king of Ur the house of ara in Umma erected
"
"sze gesz-e3-a GAN2 kab2-du11-ga da-umma{ki}
","grain threshed  surface areas inspected  in DaUmma 
","threshed grain fields
"
"ugu2 ur-{d}nansze dumu na-ba-sa6 ga2-ga2-dam 1(u) 9(disz) gin2 la2 1(u) 4(disz) 1/2(disz) sze ku3-babbar
","it is to be placed on the debit account of UrNane son of Nabasa 19 shekels less 14 12 grains silver
","it is to be placed on the debit account of UrNane son of Nabasa 19 shekels less 14 12 grains silver
"
"a-sza3 a-ki-szah2 ur-am3-ma engar 1(u) 3(asz) 1(barig) sze gur
","Akia  Uramma the plowman  13 gur 1 barig 
","Akia Uramma the plowman 13 gur 1 barig
"
"szunigin 4(disz) u8 niga szunigin 4(disz) masz2 niga
","total 4 grainfed ewes total 4 grainfed jack gaots
","total 4 grainfed ewes total 4 grainfed buck goats
"
"ki a-kal-la-ta ugu2 ur-e11-e ba-a-gar kiszib3 ur-{d}szara2 sza13-dub-ba
","from Akalla  on the deficit ledger of Uree set  under seal of Urara chief accountant 
","from Akalla on the deficit ledger of Uree set under seal of Urara chief accountant
"
"1(u) 7(asz) 2(barig) 1(ban2) 5(disz) sila3 zi3 sig15 gur
","17 gur 2 barig 1 ban 5 sila sigflour 
","17 gur 2 barig 1 ban2 5 sila3 rough flour
"
"iti ezem-an-na mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} mu-hul
","month Festival of An  year AmarSuen the king Urbilum destroyed 
","month Festival of An year AmarSuen the king Urbilum destroyed
"
"2(disz) gu4 niga masz2-da-re6-a lugal ezem sze-sag11-ku5
","2 oxen grainfed royal madarea  festival Harvest 
","2 oxen grainfed royal madarea festival Harvest
"
"ki na-lu5 {d}szul-gi-iri-mu szu ba-ti
","from Nalu ulgiirimu received 
","from Nalu ulgiirimu received
"
"1(disz) szesz-kal-la dumu a-KA-zu 1(disz) ur-mes lunga
","1 ekalla son of   1 Urmes the brewer 
","1 ekalla son of 1 Urmes the brewer
"
"ensi2 umma{ki} mu-kux(DU) a2-ki-ti sze-sag11-ku5-ka ...
","of the governor in Umma delivery for the Akitu in the month Harvest  
","of the governor in Umma delivery for the Akitu in the month Harvest
"
"iti ezem-mah-sze3 iti-bi iti 1(u) la2 1(disz)-am3
","to the month GreatFestival its months 9
","to the month GreatFestival its months 9
"
"sze-ba geme2 usz-bar kiszib3 ur-{d}asznan ugula
","barley rations of the female weavers under seal of UrAnan the foreman
","barley rations of the female weavers under seal of UrAnan the foreman
"
"iti a2-ki-ti n 2(disz) udu n masz2 1/3(disz) ma-na gin2-ta
","month Akitu  n2 rams n billy goats 2 shekels each 
","month Akitu n2 rams n billy goats 2 shekels each
"
"szu-na-na na-gada la2-ia3 su-ga sza-at-{d}suen dumu-munus ul-luh-uri5{ki}
","unana the herdsman  deficits repayments  of tSuen daughter of Ulluri
","is the herder and deficit of tSuen daughter of Ulluri
"
"mu 1(disz)-kam 1(gesz'u) 1(u) la2 1/2(disz) ku6 gab2-IL2
","1st year  61 less 12 gabIL fish baskets 
","1st year 61 less 12 gabIL fish baskets
"
"ki ur-{d}ma-mi-ta 1(asz) 5(disz) sila3 i3-nun gur
","from UrMami  1 gur 5 sila3 butter oil 
","from UrMami 1 gur 5 sila3 butter oil
"
"2(disz) kusz gu4 mu 2(asz) a-gar nu-gu7-a
","2 hides of twoyear oxen not tanned 
","2 hides of twoyear oxen not tanned
"
"da-da u3 lu2-sa6-ga iti {d}dumu-zi
","Dada  and Lusaga  month Dumuzi 
","of Dada of Lusaga and month Dumuzi month 12
"
"2(disz) gurusz ugula e2-a-lu-bi u2-IL2 zi-zi
","2 male laborers overseer Ealubi  2 sons of Lugalemae the carpenter 
","2 male laborers overseer Ealubi 2 sons of Lugalemae the carpenter
"
"1(disz) ud5 ga-bi ze2-da szah2 gu7-de3
","1 nanny goat  its milk to feed the piglet 
","1 nanny goat its milk to feed the piglet
"
"2(disz) udu gu4-e-us2-sa 1(disz) masz2 siskur2 u4-sakar sza3 unu{ki}-ga
","2 sheep following the ox  1 goat offering of the new moon in Uruk 
","2 sheep following the ox 1 billy goat in Uruk
"
"ku3-bi n gin2 n sze szunigin 2/3(disz) ma-na 8(disz) 5/6(disz) gin2 1(u) sze ku3
","its silver n shekels n grains  total 23 mana 8 56 shekels 1 grains silver 
","its silver n shekels n grains total 23 mana 8 56 shekels 1 grains silver
"
"a-sza3 pu2-a2-uz lugal-ma2-gur8-re 2(esze3) 2(iku) 1/2(iku) GAN2 1(u)-ta
","field Puauz  Lugalmagure  2 ee3 2 12 iku surface area at 1 each 
","field Puauz Lugalmagure 2 ee3 2 12 iku surface area at 1 each
"
"dub-sar ensi2-gal ... gar i3-gal2
","scribe of Biggovernor  are here  are here 
","scribe biggovernor are here
"
"1(barig) ur-sa6-ga dumu ur-{gesz}gigir 1(barig) ur-sa6-ga dumu ba-har
","1 barig Ursaga son of Urgigir 1 barig Ursaga son of Baar
","1 barig Ursaga son of Urgigir 1 barig Ursaga son of Baar
"
"he2-ti su-su-dam mu ur-bi2-lum ba-hul
","Heti  will replace  Year Urbilum was destroyed 
","it is to be repaid year Urbilum was destroyed
"
"1(u) 2(disz) gu4 niga sa2-du11 {d}szara2 umma{ki}
","12 oxen grainfed  regular offerings of ara of Umma 
","12 oxen grainfed regular offering of ara of Umma
"
"la2-ia3 su-ga bi2-da 1(barig) 4(ban2) 4(disz) sila3 imgaga3
","restored deficit of Bida  1 barig 4 ban 4 sila spelt 
","restored deficit of Bida 1 barig 4 ban 4 sila spelt
"
"1(disz) sila4 x-ka 2(disz) sila4 {d}lugal-u4-da
","1 lamb for   2 lambs for Lugaluda 
","1 lamb for 2 lambs for Lugaluda
"
"ba-... 5(disz) sila3 kasz saga 5(disz) sila3 ninda 5(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga
","for   5 sila3 fine beer 5 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant 
","5 sila3 fine beer 5 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant
"
"pisan-dub-ba en3-bi tar-re e2-usz-bar-ra u3 kiszib3 ra-ra
","Basketoftablets  inquiries of the weaving mill  and sealed documents of 
","Basketoftablets inquiries sealed documents of the men and Lugalbaba under seal of The youth
"
"b. ($ blank space $) sze nu-dab5-me
","of those not receiving barley rations 
","They are not land plots holders
"
"giri3 lugal-nigin6{ki}-sze3 kiszib3 ur-{d}su4-an-na sza3 gir2-su{ki}
","via LugalNigine  under seal of UrSuana  in Girsu 
","via LugalNigine
"
"pisan-dub-ba pisan nigar{gar}-ki-du10 dumu lugal-saga
","Basketoftablets  basket of Nigarkidu son of Lugalsaga 
","Basketoftablets basket of Nigarkidu son of Lugalsaga
"
"szunigin 5(disz) sa szum2 ...-kam iti
","total 5 bundles onions nth day month 
","total 5 bundles onions nth day month
"
"kiszib3 lu2-{d}szara2 dumu al-la 2(u) la2 1(disz) geme2 u4 1(disz)-sze3
","sealed document of Luara the son of Alla  19 female laborer days 
","under seal of Luara son of Alla 19 female laborer days
"
"sze ur5-ra-kam buru14 ama-bi gi4-gi4 su-su-dam
","It is barley on loan the harvest will remit the debt  it is to be replaced 
","It is barley on loan the harvest will remit to be replaced
"
"nu-... 1(disz) lugal-... 1(disz) lugal-szu-nir-re
","1 Lugal  1 Lugal  1 Lugal  1 Lugalunirre 
","1 Lugal 1 Lugal 1 Lugalunirre 1 Lugalunirre
"
"i3-gal2 mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 ma-da za-ab-sza-li{ki} mu-hul
","are here  year uSuen king of Ur the lands of Zabali destroyed 
","are here year Suen king of Ur the lands of Zabali destroyed
"
"lu2-banda3{da} szunigin 2(ban2) 6(disz) sila3 kasz 2(ban2) 4(disz) sila3 ninda 1(u) 2(disz) sa szum2
","for Lubanda  total 2 ban2 6 sila3 beer 2 ban2 4 sila3 bread 12 bundles onions 
","for Lubanda total 2 ban2 6 sila3 beer 2 ban2 4 sila3 bread 12 bundles onions
"
"ur-lugal szunigin 2(esze3) 1(iku) 1/2(iku) 1/4(iku) GAN2 1(u) 1/2(disz)-ta
","Urlugal  total 2 ee3 1 34 iku surface area at 1 12 each 
","Urlugal total 2 ee3 1 34 iku surface area at 1 12 each
"
"pisan-dub-ba nigin bar-ra-kar-a giri3-se3-ga
","Basketoftablets  szum2 of the barrakar workers  the personnel 
","Basketoftablets szum2 of the barrakar workers the personnel
"
"zi-ga-am3 la2-ia3 9(gesz2) 5(u) 4(disz) 2/3(disz) geme2 u4 1(disz)-sze3
","booked out  deficit 594 23 female laborer days 
","booked out deficit 172 23 female laborer workdays
"
"2(u) gurusz u4 1(disz)-sze3 kiszib3 ur-...
","2 workdays male laborers under seal of Ur 
","2 workdays male laborers under seal of Ur
"
"giri3 {d}nanna-ma-ba dub-sar iti ezem-{d}szu-{d}suen mu {d}i-bi2-{d}suen lugal
","via Nannamaba the scribe  month uSuen festival  year IbbiSuen is king 
","via Nannamaba the scribe month festival of uSuen year IbbiSuen is king
"
"mu 2(u) 3(disz)-kam i3-gal2
","a period of 23 years are here
","a period of 23 years are here
"
"2(gesz2) 2(u) geme2 u4 1(disz)-sze3 kun-zi-da i7 de3-na gub-ba
","14 workdays at the river lagoon of Idena stationed 
","14 workdays at the river lagoon of Idena stationed
"
"u4 1(u) 7(disz)-kam ki ta2-hi-isz-a-tal-ta 1(disz) gu4 1(disz) ab2
","the 17th day  from Tahiatal  1 ox 1 cow 
","17th day from Tahiatal 1 ox 1 cow
"
"1(disz) ug3 ur-{d}utu 1/2(disz) szesz-a-ni 1(disz) ug3 lu2-ga-mu
","1 workman porter UrUtu  12 workman eani  1 workman porter Lugamu 
","1 workman porter UrUtu 12 workman eani 1 workman porter Lugamu
"
"a-hu-we-er i3-dab5 iti szu-esz5-sza
","Auwer  accepted  month uea 
","Auwer accepted month uea
"
"szunigin 7(bur3) 2(esze3) 2(iku) 1/2(iku) 1/4(iku) GAN2 1(u) 1(disz)-ta
","total 7 bur3 2 ee3 2 34 iku surface area 11 each 
","total 7 bur3 2 ee3 2 34 iku surface area 11 each
"
"mu-kux(DU) ur-mes nu-banda3 1(disz) {munus}asz2-gar3 niga {d}nin-sun2
","delivery of Urmes the manager  1 fattened nanny goat for Ninsun 
","delivery of Urmes the manager 1 fattened nanny goat for Ninsun
"
"1(disz) kusz gu4 a-gar nu-gu7-a 1(disz) kusz gu4 al-hul-a a-gar nu-gu7-a
","1 hide of ox not tanned  1 hide of ox damaged not tanned 
","1 hide of ox not tanned 1 hide of ox damaged not tanned
"
"3(disz) geme2-iri-si-ga 3(disz) nin-inim-gi-na 1(disz) 1/2(disz) geme2-{d}na-ru2-a
","3 mana wool for Gemeirisiga  3 mana wool for Nininimgina  and 1 12 for GemeNarua 
","3 mana wool for Gemeirisiga 3 mana wool for Nininimgina and 1 12 for GemeNarua
"
"1(disz) sila4 niga {d}nanna mu-kux(DU) lu2-{d}nanna szabra
","1 fattened lamb for Nanna  delivery of LuNanna household manager 
","1 fattened lamb for Nanna delivery of LuNanna household manager
"
"ki ur-{gesz}gigir dam-gar3-ta szunigin 2/3(disz) ma-na 3(disz) gin2 la2 6(disz) sze ku3-babbar
","from Urgigir the trade agent  total 23 mana 3 shekels less 6 grains silver 
","from Urgigir the exchange agents total 23 mana 3 shekels less 6 grains silver
"
"nu-banda3 da-da iti sze-sag11-ku5 2(asz) 2(barig) 3(ban2) kiszib3 ab-ba-kal-la
","superintendent Dada month Harvest and 2 gur 2 barig 3 ban2 under seal of Abbakala
","superintendent Dada month Harvest and 2 gur 2 barig 3 ban2 under seal of Abbakala
"
"u4 2(u) 6(disz)-kam mu-kux(DU) ur-ku3-nun-na
","26th day  delivery  did Urkununa 
","the 26th day as delivery Urkununa
"
"a-sza3 du6-gesz-i3-ka lugal-szu-nir-re engar 2(bur3) 4(iku) GAN2 1(u) la2 1(asz@45)-ta
","field Hillockofplantoil  Lugalunire the plowman  2 bur3 4 iku surface area at 1 less 1 each 
","field Hillockofplantoil Lugalunire the plowman 2 bur3 4 iku surface area at 1 less 1 each
"
"szuku er3-ra-ba-ni 3(asz) 1(ban2) 8(disz) sila3 gur
","prebend of Erabani  3 gur 1 ban2 7 sila3 
","prebend of Erabani 3 gur 1 ban2 7 sila3 prebend of Erabani
"
"lugal an-ub-da limmu2-ba igi-an-na-ke4-zu sukkal dumu ARAD2-da-ni
","king of the four corners Igianakezu messenger son of ARADani
","king of the four corners Igianakezu messenger son of ARADani
"
"1(u) x ... 2(u) 2(disz) tug2 usz-bar
","1   22 weaver garments 
","1 22 divine powers 22 ubar garments
"
"lu2-{d}da-mu 5(disz) sila3 kasz 5(disz) sila3 ninda 4(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga
","for LuDamu  5 sila3 beer 5 sila3 bread 4 shekels onions 3 shekels oil 2 shekels alkaliplant 
","for LuDamu 5 sila3 beer 5 sila3 bread 4 shekels onions 3 shekels oil 2 shekels alkaliplant
"
"2(disz) ab2 e2-muhaldim u4 8(disz)-kam
","2 cows  for the kitchen  on the 8th day 
","2 cows for the kitchen on the 8th day
"
"1(disz) 1/2(disz) ...  3(disz) iri-ni-sze3-kusz2
","and 1 12  mina of wool for   3 mana wool for Irinieku  
","and 1 12 mina of wool for Nigtuku her child
"
"2(disz) gu4 {d}szul-gi e2-gibil-na kux(KWU147)-ra 1(disz) gu4 niga 1(disz) gu4 u2 ba-usz2
","2 oxen for ulgi in the Newhouse delivered  1 ox grainfed 1 ox grassfed slaughtered 
","2 oxen grainfed ulgi 1 ox barleyfed 1 ox grassfed slaughtered
"
"3(disz) nin-mu-ha-mu-szi-zu 3(disz) nin-da-nir-gal2 3(disz) a-ba-ki-ne2
","3 mana wool for Ninmuamuizu  and 3 for Nindanirgal  and 3 for Abakine 
","3 mana wool for Nindanirgal 3 mana wool for Nindanirgal
"
"nu-ur2-{d}iszkur 3(disz) sila3 kasz 2(disz) sila3 ninda 2(disz) sa szum2
","for NrAdda  3 sila3 beer 2 sila3 bread 2 bundles onions 
","for NrAdda 3 sila3 beer 2 sila3 bread 2 bundles onions
"
"...-x-ka 4(u) x ... sa2-du11 x-... gid2-da
","4 gur   4 gur   offerings  
","4 gur 4 gur offerings
"
"ki ensi2 umma{ki}-ta kiszib3 en-dingir-mu giri3 a-mur-{d}suen lu2 kas4
","from the governor of Umma under seal of Endingirmu via AmurSuen the runner
","from the governor of Umma under seal of Endingirmu via AmurSuen the runner
"
"mu si-ma-num2{ki} ba-hul 2(u) 4(asz) 1(ban2) ... 4(disz) 1/2(disz) sila3 sze
","year Simanum was destroyed  24 gur 1 ban2 4 12 sila3 of barley 
","year Simanum was destroyed 24 gur 1 ban2 4 12 sila3 barley
"
"1(barig) ... x-um-ba-ni ...-x{ki} ka-lu 1(gesz2) 3(u)-am3
","1 barig umbani   are 9   are 9 
","1 barig umbani are 9 are 9
"
"ur-{d}su4-da unu3 1(disz) szu-dulx(|URxA|) gu4 mu-kux(DU)
","UrSuda cowherd  1 hide of ox yoke  delivery 
","sadur and agandul ditch 1 ox delivery
"
"nig2-ka9-ak a2 erin2-na-ka lu2-{d}szara2 ugula dumu lugal-inim-gi-na
","Account of the production of the erin workers  Luara is the foreman son of Lugalinimgina 
","Account of the production of the erin workers Luara is the foreman son of Lugalinimgina
"
"nu-banda3-gu4 ...-x 1(ban2) 5(disz) dumu lu2-{d}nin-szubur
","the oxenmanager x  1 ban2 5 sila3 the son of LuNinubur 
","oxen manager 1 ban2 5 sila3 from LuNinubur
"
"sze ur5-ra gibil 2(gesz2) 1(u) 1(asz) 1(barig) 4(ban2) 7(disz) 1/2(disz) sila3 zi3 gur
","new loaned grain  131 gur 1 barig 4 ban2 7 12 sila3 flour 
","new loaned grain 131 gur 1 barig 4 ban2 7 12 sila3 flour
"
"ur-dingir-ra 2(ban2) kasz 2(ban2) ninda 2(disz) sa szum2
","for Urdingira  2 ban2 beer 2 ban2 bread 2 bundles onions 
","for Urdingira 2 ban2 beer 2 ban2 bread 2 bundles onions
"
"pisan-dub-ba nig2-ka9-ak lu2-du10-ga ugula
","Basketoftablets  accounts of  Luduga the foreman 
","Basketoftablets accounts of Luduga the foreman
"
"szuku ku-ku 2(asz) 3(ban2) 1(disz) sila3 gur
","prebend of Kuku  2 gur 3 ban2 1 sila3 
","prebend of Kuku 2 gur 3 ban2 1 sila3
"
"...-e-ne ki nu-banda3{da}-ta x-{d}iszkur-ke4
","ene  from the nubanda  Ikur 
","ene from the nubanda Ikur
"
"mu si-mu-ru-um{ki} ba-hul-sze3 i3-gal2
","to the year Simururm was destroyed  are here 
","to the year Simururm was destroyed are here
"
"sze-bi 1(gesz2) 8(asz) 1(barig) 2(ban2) gur
","its barley 68 gur 1 barig 2 ban2 
","its barley 68 gur 1 barig 2 ban2
"
"1(disz) gu4 ($ blank space $) 5(u) 5(disz)
","1 ox total 55
","1 ox 5 oxen total 55
"
"mu lugal nu-ub-gi4-gi4-da in-na-pa3 1(disz) lu2-du10-ga nu-{gesz}kiri6
","He swore the royal name of not contesting  1 Luduga the orchardist 
","year the king aurum destroyed
"
"sza3-ba diri 1(disz)-am3 i3-gal2 mu en-mah-gal-an-na en {d}nanna ba-hun
","therein one extra month are here  year Enmagalana enpriestess of Nanna was hired 
","therein one extra month are here year Enmagalana enpriestess of Nanna was hired
"
"e2 szu-szum2-ma ensi2 u3 nigin-ba udu gukkal
","house of consignment of the governor and grand totals of sheep and fattailed sheep
","house of consignment of the governor and grand totals of sheep and fattailed sheep a fattailed sheep
"
"2(disz) u8 2(disz) ud5 3(disz) sila4
","2 ewes  2 nanny goats  3 lambs 
","2 ewes 2 nanny goats 3 lambs
"
"kiszib3 {d}szara2-kam u3 lugal-iti-da ki ab-ba-sa6-ga
","sealed documents of arakam  and Lugalitida  with Abbasaga 
","sealed documents arakam and sealed documents of Abbasaga
"
"mu {d}szul-gi lugal-e ur-bi2-lum{ki} lu-lu-bu si-mu-ru-um{ki} u3 kar2-har asz-sze3 sagdu-bi szu-bur2-a bi2-ra-a
","year Sulgi the king the heads of Urbilum Simurrum Lullubu and Karar in a single campaign did smash 
","year Sulgi the king the heads of Urbilum Simurrum Lullubu and Karar in a single campaign did smash
"
"ki szesz-kal-la-ta al-la szu ba-ti
","from ekalla  did Alla  receive 
","from ekalla Alla received
"
"ki a-hu-ni-ta ba-zi iti a2-ki-ti
","from the account of Auni  booked out  month Aktu 
","from the account of Auni booked out month Aktu
"
"... ma-na sig4 mun ... x 6(disz) gin2 sze-zi-bi2-tum
"," mana brick salt   6 shekels ezibtum spice 
","mana brick salt 6 shekels ezibtum spice
"
